,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2020-08,0.002467332,0.004196297,0,0,0,0,0,0,0,0.014843724,0,0,0,0,0.003033188,0,0.003515698,0,0.002982473,0.004595228,0,0.006767679,0.005058951,0.005375687,0.003560913,0.003865152,0.004930087,0.000844377,0.007336905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09,0.00334977,0.003252121,0,0,0,0,0,0,0,0.009610712,0,0,0,0,0.003290953,0,0.002606383,0,0.000891525,0.003819625,0,0.004282732,0.004025857,0.004394497,0.00422651,0.00397968,0.004742098,0.002414319,0.001313641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,0.003873432,0.00249486,0,0,0,0,0,0,0,0.006797791,0,0,0,0,0.002491168,0,0.004597775,0,0.000767745,0.002278893,0,0.005203036,0.005208764,0.002615633,0.005426591,0.003005115,0.002726441,0.000481935,0.003910583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11,0.003683862,0.003898066,0,0,0,0,0,0,0,0.008701562,0,0,0,0,0.001207389,0,0.001792972,0,0.002925886,0.003671483,0,0.003645321,0.002929203,0.004649049,0.003650388,0.001603765,0.001870206,0.003078379,0.002698922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12,0.004111794,0.002517863,0,0,0,0,0,0,0,0.014305506,0,0,0,0,0.00186238,0,0.001827984,0,0.002109391,0.002581235,0,0.00409366,0.00346065,0.00264109,0.003351523,0.0028091,0.00224798,0.003529763,0.006396588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01,0.003603149,0.002420528,0,0,0,0,0,0,0,0.004565595,0,0,0,0,0.001881113,0,0.002131396,0,0.001006782,0.002347696,0,0.005554131,0.003554956,0.004428465,0.0030181,0.002027045,0.002269795,0.002651444,0.001931238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02,0.003834805,0.001939579,0,0,0,0,0,0,0,0.007987039,0,0,0,0,0.001192423,0,0.002697382,0,0.00105354,0.004093614,0,0.004158333,0.0037832,0.00318854,0.003465437,0.001606951,0.001925484,0.000357306,0.004118491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03,0.003742624,0.001568697,0,0,0,0,0,0,0,0.007229444,0,0,0,0,0.001601779,0,0.001638118,0,0.001253297,0.00433446,0,0.004745365,0.003798595,0.002735066,0.003966785,0.00136581,0.002549569,0.002663724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04,0.003207559,0.000683297,0,0,0,0,0,0,0,0.011851281,0,0,0,0,0.001968042,0,0.002129035,0,0.003531277,0.000837094,0,0.003548077,0.003339943,0.00308814,0.003275342,0.001470305,0.002945344,0.003076294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05,0.002979045,0.001811079,0,0,0,0,0,0,0,0.007357271,0,0,0,0,0.001089449,0,0.001259335,0,0.001795842,0.001714258,0,0.004687432,0.003695875,0.002475755,0.003269098,0.000939868,0.004228191,0.003234538,0.000836702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06,0.003704881,0.004163636,0,0,0,0,0,0,0,0.015030311,0,0,0,0,0.002107529,0,0.002422382,0,0.00096656,0.002799084,0,0.002714385,0.002831569,0.00255402,0.004009138,0.001015456,0.001629471,0.001429886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07,0.003385485,0.000335018,0,0,0,0,0,0,0,0.009373541,0,0,0,0,0.002526507,0,0.002398021,0,0.003587375,0.003365335,0,0.002219778,0.003005437,0.002885158,0.003048796,0.002022735,0.001886267,0.002397315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08,0.003317199,0.002167529,0,0,0,0,0,0,0,0.003428405,0,0,0,0,0.002631519,0,0.001946908,0,0.004848965,0.002591596,0,0.002185822,0.003085732,0.001969636,0.0026167,0.000607855,8.28532E-05,0.002075457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09,0.002714295,0.001707369,0,0,0,0,0,0,0,0.009832998,0,0,0,0,0.001221056,0,0.001840176,0,0.001567644,0.00287522,0,0.001834798,0.001883654,0.00276826,0.003005926,0.001493612,0.001452662,0.000589369,0.00313909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
