Date,Original,Trendline,Prediction
2020-08-01,4868.0,2740.8802424794994,
2020-09-01,218.0,2891.0884594188537,
2020-10-01,899.0,3041.296676358208,
2020-11-01,6520.0,3191.5048932975624,
2020-12-01,225.0,3341.7131102369167,
2021-01-01,4099.0,1935.2403131710016,
2021-02-01,1947.0,2085.448530110356,
2021-03-01,0.0,2235.6567470497102,
2021-04-01,0.0,2385.8649639890646,
2021-05-01,428.0,2536.073180928477,
2021-06-01,0.0,2686.2813978678314,
2021-07-01,0.0,2836.4896148071857,
2021-08-01,0.0,2986.69783174654,
2021-09-01,33698.0,3136.9060486858943,
2021-10-01,0.0,3287.1142656252487,
2021-11-01,400.0,3437.322482564603,
2021-12-01,149.0,3587.5306995039573,
2022-01-01,2553.0,2181.057902438042,
2022-02-01,670.0,2331.2661193773965,
2022-03-01,0.0,2481.474336316751,
2022-04-01,1453.0,2631.682553256105,
2022-05-01,3106.0,2781.8907701955177,
2022-06-01,1885.0,2932.098987134872,
2022-07-01,0.0,3082.3072040742263,
2022-08-01,0.0,3232.5154210135806,
2022-09-01,0.0,3382.723637952935,
2022-10-01,502.0,3532.9318548922893,
2022-11-01,0.0,3683.1400718316436,
2022-12-01,235.0,3833.348288770998,
2023-01-01,960.0,2426.875491705141,
2023-02-01,1112.0,2577.0837086444953,
2023-03-01,834.0,2727.2919255838497,
2023-04-01,5040.0,2877.500142523204,
2023-05-01,0.0,3027.7083594626165,
2023-06-01,3084.0,3177.916576401971,
2023-07-01,0.0,3328.124793341325,
2023-08-01,4612.0,3478.3330102806794,
2023-09-01,3364.0,3628.5412272200338,
2023-10-01,5624.0,3778.749444159388,
2023-11-01,4377.0,3928.9576610987424,
2023-12-01,4255.0,4079.1658780380967,
2024-01-01,6383.0,2672.6930809721816,
2024-02-01,11725.0,2822.901297911536,
2024-03-01,1933.0,2973.1095148508903,
2024-04-01,2787.0,3123.3177317902446,2787.0
2024-05-01,,3273.525948729657,4133.122974364829
2024-06-01,,3423.7341656690114,4295.737082834506
2024-07-01,,3573.9423826083657,4386.1211913041825
2024-08-01,,3724.15059954772,4740.545299773859
2024-09-01,,3874.3588164870744,6454.064408243537
