Date,Original,Trendline,Prediction
2020-08-01,188897146.0,275463736.230011,
2020-09-01,255657701.0,285439320.1938019,
2020-10-01,386138290.0,295414904.1575775,
2020-11-01,334038643.0,305390488.12135315,
2020-12-01,396970123.0,315366072.08514404,
2021-01-01,339180950.0,256442409.85975647,
2021-02-01,323151699.0,266417993.82354736,
2021-03-01,353631733.0,276393577.787323,
2021-04-01,403067204.0,286369161.75109863,
2021-05-01,364996139.0,296344745.71487427,
2021-06-01,382647035.0,306320329.67866516,
2021-07-01,275071975.0,316295913.6424408,
2021-08-01,303411915.0,326271497.60621643,
2021-09-01,333472337.0,336247081.5700073,
2021-10-01,337020743.0,346222665.53378296,
2021-11-01,267840864.0,356198249.4975586,
2021-12-01,358155320.0,366173833.4613495,
2022-01-01,327950994.0,307250171.2359772,
2022-02-01,280103257.0,317225755.19976807,
2022-03-01,355962224.0,327201339.1635437,
2022-04-01,341056553.0,337176923.12731934,
2022-05-01,289169592.0,347152507.091095,
2022-06-01,268471048.0,357128091.05488586,
2022-07-01,310728058.0,367103675.0186615,
2022-08-01,269620143.0,377079258.98243713,
2022-09-01,241429029.0,387054842.946228,
2022-10-01,367796796.0,397030426.91000366,
2022-11-01,428563898.0,407006010.8737793,
2022-12-01,347796267.0,416981594.8375702,
2023-01-01,268783116.0,358057932.6121826,
2023-02-01,321617095.0,368033516.5759735,
2023-03-01,174523134.0,378009100.53974915,
2023-04-01,493676843.0,387984684.5035248,
2023-05-01,348297022.0,397960268.4673004,
2023-06-01,461420780.0,407935852.4310913,
2023-07-01,329325373.0,417911436.39486694,
2023-08-01,625585615.0,427887020.3586426,
2023-09-01,216774314.0,437862604.3224335,
2023-10-01,675398143.0,447838188.2862091,
2023-11-01,453542292.0,457813772.24998474,
2023-12-01,528619739.0,467789356.21377563,
2024-01-01,746895636.0,408865693.9884033,
2024-02-01,449855868.0,418841277.9521942,
2024-03-01,325397104.0,428816861.91596985,
2024-04-01,499188546.0,438792445.8797455,499188546.0
2024-05-01,,448768029.8435211,443633779.57176054
2024-06-01,,458743613.807312,464175114.663656
2024-07-01,,468719197.77108765,481022817.98054385
2024-08-01,,478694781.7348633,519830474.84243166
2024-09-01,,488670365.6986542,452159544.76432705
