Date,Original,Trendline,Prediction
2020-08-01,565260.3333,1061609.5972043872,
2020-09-01,452604.0,1026467.0247477293,
2020-10-01,683651.6923,991324.4522910118,
2020-11-01,574579.75,956181.8798342943,
2020-12-01,580009.5385,921039.3073775768,
2021-01-01,664180.1333,1106695.1639835835,
2021-02-01,662050.9,1071552.5915269256,
2021-03-01,511942.9167,1036410.0190702081,
2021-04-01,2599527.667,1001267.4466134906,
2021-05-01,1219576.75,966124.8741567731,
2021-06-01,791718.7143,930982.3017001152,
2021-07-01,3908369.375,895839.7292433977,
2021-08-01,582229.8571,860697.1567866802,
2021-09-01,670212.4,825554.5843300223,
2021-10-01,869248.0,790412.0118733048,
2021-11-01,655380.8333,755269.4394165874,
2021-12-01,625030.0,720126.8669598699,
2022-01-01,911263.0,905782.7235658765,
2022-02-01,1096446.5,870640.1511092186,
2022-03-01,1875362.0,835497.5786525011,
2022-04-01,903766.0,800355.0061957836,
2022-05-01,536803.4444,765212.4337390661,
2022-06-01,505265.1667,730069.8612824082,
2022-07-01,682646.8333,694927.2888256907,
2022-08-01,796878.5,659784.7163689733,
2022-09-01,3049472.667,624642.1439123154,
2022-10-01,400495.5,589499.5714555979,
2022-11-01,576224.0,554356.9989988804,
2022-12-01,904817.0,519214.4265421629,
2023-01-01,531947.75,704870.2831481695,
2023-02-01,327389.5,669727.7106915116,
2023-03-01,805315.5,634585.1382347941,
2023-04-01,487021.3333,599442.5657780766,
2023-05-01,1583065.5,564299.9933213592,
2023-06-01,754742.0,529157.4208647013,
2023-07-01,305697.0,494014.8484079838,
2023-08-01,0.0,458872.2759512663,
2023-09-01,230659.0,423729.7034946084,
2023-10-01,0.0,388587.1310378909,
2023-11-01,0.0,353444.5585811734,
2023-12-01,265892.5,318301.9861244559,
2024-01-01,414041.0,503957.84273052216,
2024-02-01,0.0,468815.27027386427,
2024-03-01,0.0,433672.6978171468,
2024-04-01,0.0,398530.1253604293,0.0
2024-05-01,,363387.5529037118,400891.38811785594
2024-06-01,,328244.9804470539,308945.10296152695
2024-07-01,,293102.4079903364,337794.0125351682
2024-08-01,,257959.83553361893,143611.13943330946
2024-09-01,,222817.26307696104,161838.64903848054
