,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
20-Aug,432887,21688,0,0,0,0,0,0,0,45785676,0,0,0,0,256534,0,262103,0,20468,121209,0,1107654,675214,7717676,2037123,127934,174752,93643,41175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Sep,608453,53049,0,0,0,0,0,0,0,50215223,0,0,0,0,105515,0,525660,0,13802,1726941,0,1825062,1069752,10893905,3538217,175732,144895,1239804,3827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct,1227175,140071,0,0,0,0,0,0,0,57938195,0,0,0,0,314026,0,2037775,0,199443,858820,0,2148622,9131688,13194158,380752,460377,304595,2364689,8614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Nov,685431,210068,0,0,0,0,0,0,0,42045611,0,0,0,0,309171,0,872086,0,9932,3046908,0,3549260,661383,11284754,350624,361825,221239,147062,66977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Dec,440556,52671,0,0,0,0,0,0,0,26851196,0,0,0,0,327295,0,1016302,0,57156,2851736,0,4114528,440039,15284901,1152350,361321,295515,63434,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jan,585162,124079,0,0,0,0,0,0,0,7170123,0,0,0,0,446041,0,619626,0,196552,299344,0,7088586,891324,9409842,381613,694664,486624,1043062,71229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Feb,551664,109910,0,0,0,0,0,0,0,24019227,0,0,0,0,206355,0,2097894,0,88562,241624,0,3867118,1298777,12608209,270193,447411,164087,555961,7952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar,256809,44353,0,0,0,0,0,0,0,39951185,0,0,0,0,249494,0,644026,0,19771,1295007,0,3936194,1211527,11140848,340391,330237,210889,617246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Apr,267903,530139,0,0,0,0,0,0,0,27374457,0,0,0,0,251276,0,360730,0,139894,164661,0,3183732,1050457,11052685,335936,352890,592564,478534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-May,350326,44966,0,0,0,0,0,0,0,28470399,0,0,0,0,109211,0,573544,0,88724,665016,0,3532367,1133286,11315012,1024346,504069,441137,25497,11510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jun,563414,45320,0,0,0,0,0,0,0,57426803,0,0,0,0,411063,0,788422,0,43947,561858,0,3098381,650114,11192041,445590,406765,368006,629284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jul,348778,226501,0,0,0,0,0,0,0,32939862,0,0,0,0,435976,0,1463402,0,30924,670400,0,2745422,4658986,6537562,426725,1308266,135060,165829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Aug,382246,24383,0,0,0,0,0,0,0,35873525,0,0,0,0,344794,0,2265441,0,226869,472895,0,2820579,722422,6661775,870812,644892,70345,1352142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Sep,398120,55542,0,0,0,0,0,0,0,55026695,0,0,0,0,218632,0,484061,0,974874,1001845,0,3928099,1472510,8326051,690608,444254,218686,1428101,1456682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Oct,2020550,33390,0,0,0,0,0,0,0,54720041,0,0,0,0,155645,0,595246,0,319941,879150,0,5321267,1302349,8142018,320672,465424,126643,461870,821063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Nov,1057544,25790,0,0,0,0,0,0,0,19708625,0,0,0,0,56302,0,456144,0,282764,1857965,0,3501608,960927,6425549,202658,664637,94595,143383,20638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Dec,251146,25951,0,0,0,0,0,0,0,21438757,0,0,0,0,64826,0,360581,0,264609,839827,0,3758798,1315943,9920436,259598,254072,183829,110829,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
