,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
20-Aug,63791,21348,0,0,0,0,0,0,0,8983251,0,0,0,0,39797,0,95093,0,3320,33052,0,264566,131728,1015452,196130,19601,37492,17511,4868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Sep,101756,19135,0,0,0,0,0,0,0,5597144,0,0,0,0,31898,0,133410,0,960,143853,0,134232,177065,1123487,396697,19075,39451,71638,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct,205628,22173,0,0,0,0,0,0,0,5648748,0,0,0,0,43976,0,714178,0,13141,75672,0,457503,514776,1009996,213220,57663,35635,53654,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Nov,119362,44795,0,0,0,0,0,0,0,5098317,0,0,0,0,31674,0,136481,0,896,255863,0,444995,108548,1552962,143206,29919,17386,29549,6520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Dec,104987,18985,0,0,0,0,0,0,0,5847520,0,0,0,0,37048,0,135254,0,9799,201168,0,345441,83299,1048434,137133,53107,28642,9382,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jan,120592,24115,0,0,0,0,0,0,0,556241,0,0,0,0,43161,0,108753,0,16442,58403,0,754095,177268,1502051,101005,61672,50526,175883,4099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Feb,107789,12841,0,0,0,0,0,0,0,2311609,0,0,0,0,13151,0,285821,0,7970,44563,0,359542,233220,1030382,93348,35970,13861,8870,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar,59791,9637,0,0,0,0,0,0,0,4198124,0,0,0,0,18313,0,101803,0,1390,190116,0,338144,181492,967206,170294,32736,30538,60469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Apr,49681,21315,0,0,0,0,0,0,0,4200398,0,0,0,0,24936,0,83938,0,19607,18748,0,335460,194404,1244728,114567,26143,68610,48962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-May,65110,8835,0,0,0,0,0,0,0,3743023,0,0,0,0,7088,0,69917,0,9383,82533,0,731767,191643,903641,344920,28525,91447,6458,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jun,55172,23075,0,0,0,0,0,0,0,13584305,0,0,0,0,43372,0,161515,0,5086,79021,0,290842,109844,977288,201280,22369,34910,20598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
