video_id,categoryId,how_fast,amount_trending
--24T6TzQvc,24,1,10
--8IwTcvN98,23,0,9
#NAME?,10,0,11
#NAME?,22,0,7
#NAME?,25,0,2
#NAME?,26,1,12
-0JLHPtFhNM,24,4,3
-0Jt5_pGlko,20,1,11
-0LHggNGP4A,24,0,15
-0NMeBU6CDE,20,0,13
-0_dMt3rXuw,17,0,11
-0dbirUY_uk,24,0,9
-1CG_-AAvHk,17,0,18
-1HI2yiZ8Lg,10,1,10
-1HbFmXHKWs,22,0,9
-1M-dNL5KU0,24,0,9
-1MlDyihHgU,10,0,11
-1U-L0gG4LY,22,0,5
-1UI4gs0mMI,24,0,11
-1UXHfKnvCE,24,0,14
-1XLR364xug,24,0,8
-1_1Qy6SYLk,15,1,11
-1wcilQ58hI,28,0,12
-26Cx_IARZA,10,1,9
-29vlQ-KaUU,25,1,4
-2LyctYytuQ,27,0,12
-2X-pL06628,10,0,10
-2acWe_0eHw,24,3,5
-2cbT4_BLqI,22,0,12
-2jigskmEXc,24,0,10
-2rr_j_U4eo,24,0,16
-30Ne0dQyYY,22,0,10
-32m854pQC0,17,0,7
-3iBYJVjvzo,24,0,11
-3tW01sOhqY,23,0,18
-4G1CAQpYg8,10,0,11
-4I7Sf_Nkcc,27,1,13
-4faH2K0cp0,24,0,16
-4h4WNLFulM,24,0,16
-4l9kFX3sMA,25,0,10
-4psYfW233w,24,1,10
-4wnJOZ3S98,20,0,9
-54PAKnVeNw,24,1,3
-56K3olMu_E,10,0,10
-5BrUWtDHfE,1,2,7
-5CiFuHqKpw,22,0,7
-5Mw7a11810,25,0,12
-5NwkXsx4wY,1,3,3
-5ipv0Cx91Q,17,0,6
-5jn1Yh_U9E,17,0,10
-5m_PeIBTOs,15,0,9
-5q5mZbe3V8,10,0,12
-5zFvcdtZWk,24,0,5
-6aVQrzja9U,10,0,11
-6oejENyZJs,22,4,8
-6zExiuIotU,24,1,8
-72UKD1pjfs,17,0,7
-771tnJLScs,28,0,6
-7NtwdRzrlQ,23,0,10
-7ZK2YbcAIA,25,0,9
-7xl0Ap_vv0,22,0,14
-84tyDebx5I,10,0,3
-8SN_xX4nhs,10,0,10
-8e7Dyl8_-E,24,1,10
-8fW_1uXT0g,22,0,12
-8jAmDvO64E,10,0,14
-8kH_FQqrs8,22,0,4
-91V2mOga58,10,0,1
-9B1lQ7TeNE,25,0,9
-9LH8eiRGto,24,0,12
-9d2t-nLgmw,24,0,12
-9dTc01hkDE,24,0,10
-9jrmDP1crU,24,2,5
#NAME?,24,0,8
#NAME?,24,0,7
#NAME?,2,1,12
#NAME?,1,0,14
#NAME?,24,0,7
#NAME?,28,0,8
#NAME?,22,0,7
#NAME?,25,1,11
#NAME?,15,0,14
#NAME?,24,0,11
#NAME?,24,0,15
#NAME?,10,0,11
#NAME?,17,0,8
#NAME?,23,0,13
#NAME?,24,0,8
-C26kzFgzQw,17,0,7
-C8SZZqvzPA,24,0,9
#NAME?,22,0,14
#NAME?,24,0,9
#NAME?,10,0,12
#NAME?,24,0,10
#NAME?,10,0,7
#NAME?,24,1,7
#NAME?,28,1,11
#NAME?,19,0,8
#NAME?,22,0,14
#NAME?,24,2,10
#NAME?,10,1,11
#NAME?,24,0,8
#NAME?,24,0,10
#NAME?,24,0,12
#NAME?,26,1,19
#NAME?,19,0,17
#NAME?,17,0,12
#NAME?,10,0,16
#NAME?,20,1,15
#NAME?,24,0,14
#NAME?,24,1,13
#NAME?,1,0,13
#NAME?,10,0,8
#NAME?,10,0,9
#NAME?,17,0,9
#NAME?,24,1,9
#NAME?,17,2,7
#NAME?,24,0,5
#NAME?,20,1,11
#NAME?,24,0,6
#NAME?,24,0,8
#NAME?,20,1,13
#NAME?,22,0,16
#NAME?,24,1,4
#NAME?,10,0,8
#NAME?,26,1,11
#NAME?,17,2,7
#NAME?,26,0,15
#NAME?,22,0,10
#NAME?,24,0,2
#NAME?,10,0,12
#NAME?,25,1,3
#NAME?,22,0,10
#NAME?,22,0,11
#NAME?,24,0,14
#NAME?,24,0,15
#NAME?,22,1,6
#NAME?,1,0,8
#NAME?,24,0,12
#NAME?,22,0,10
#NAME?,27,1,9
#NAME?,10,0,13
#NAME?,22,0,12
#NAME?,22,0,12
#NAME?,17,0,8
#NAME?,22,0,7
#NAME?,24,0,7
#NAME?,26,0,10
#NAME?,25,0,17
#NAME?,25,1,1
#NAME?,23,0,13
#NAME?,22,0,13
#NAME?,25,2,8
#NAME?,23,0,17
#NAME?,22,0,6
#NAME?,20,1,10
#NAME?,24,1,9
#NAME?,24,0,15
#NAME?,22,0,10
#NAME?,10,0,10
#NAME?,22,0,13
#NAME?,17,0,11
#NAME?,10,1,4
-NRPzBw-9Go,26,0,10
#NAME?,22,0,10
#NAME?,24,0,12
#NAME?,28,1,9
#NAME?,24,0,15
#NAME?,24,1,6
#NAME?,24,0,11
#NAME?,24,0,11
#NAME?,23,0,14
#NAME?,25,0,2
#NAME?,24,2,13
#NAME?,20,0,16
#NAME?,25,0,7
#NAME?,20,0,10
#NAME?,17,0,3
#NAME?,24,0,17
#NAME?,17,0,7
#NAME?,24,1,7
#NAME?,22,3,8
#NAME?,23,0,14
#NAME?,24,0,6
#NAME?,26,0,9
-R74bKAPfp4,2,0,5
#NAME?,10,2,5
#NAME?,23,0,9
#NAME?,24,0,10
#NAME?,23,0,7
#NAME?,10,0,10
#NAME?,24,3,9
#NAME?,28,1,14
#NAME?,24,0,7
#NAME?,28,0,8
#NAME?,24,0,7
#NAME?,24,1,5
#NAME?,17,0,3
#NAME?,10,0,11
#NAME?,24,0,18
#NAME?,24,0,13
#NAME?,17,4,12
#NAME?,24,0,13
#NAME?,10,0,13
#NAME?,24,0,9
#NAME?,24,2,6
#NAME?,10,0,8
#NAME?,1,0,14
#NAME?,27,0,10
#NAME?,10,1,11
#NAME?,1,1,14
#NAME?,10,0,2
#NAME?,24,0,10
#NAME?,23,0,17
#NAME?,17,0,6
#NAME?,24,0,3
#NAME?,17,0,4
#NAME?,25,0,3
#NAME?,23,0,12
#NAME?,15,0,7
#NAME?,23,0,16
#NAME?,17,0,8
#NAME?,17,2,5
#NAME?,22,0,12
#NAME?,24,1,10
#NAME?,24,2,5
#NAME?,25,0,4
#NAME?,10,0,18
#NAME?,24,0,8
#NAME?,10,0,11
#NAME?,23,0,15
#NAME?,19,1,12
#NAME?,24,0,3
#NAME?,17,0,11
#NAME?,10,0,12
#NAME?,19,0,9
#NAME?,20,1,13
#NAME?,24,1,10
#NAME?,23,0,10
#NAME?,24,0,15
#NAME?,10,0,3
#NAME?,26,0,7
#NAME?,10,2,12
#NAME?,10,1,5
#NAME?,24,0,7
#NAME?,15,0,9
#NAME?,17,1,9
#NAME?,20,0,18
#NAME?,17,0,8
#NAME?,25,0,12
#NAME?,24,0,1
#NAME?,24,0,4
#NAME?,26,1,12
#NAME?,15,0,10
#NAME?,26,0,10
#NAME?,24,0,14
#NAME?,24,0,12
#NAME?,24,0,10
#NAME?,17,0,10
#NAME?,20,0,7
#NAME?,24,0,3
-c6fQy5Ge3w,17,0,9
-c78Buwsvkg,22,0,12
#NAME?,24,1,12
#NAME?,22,0,10
#NAME?,26,0,14
#NAME?,10,0,9
#NAME?,15,0,8
#NAME?,22,0,7
#NAME?,24,1,11
#NAME?,24,0,9
#NAME?,22,0,18
#NAME?,17,0,15
#NAME?,20,0,13
#NAME?,25,0,11
#NAME?,17,0,1
#NAME?,24,0,11
#NAME?,24,1,12
#NAME?,22,0,11
#NAME?,17,0,4
#NAME?,20,0,6
#NAME?,24,0,10
#NAME?,24,0,17
#NAME?,17,0,13
#NAME?,17,0,6
#NAME?,20,0,10
#NAME?,24,0,3
#NAME?,24,0,8
#NAME?,24,1,10
#NAME?,17,1,4
#NAME?,24,1,8
#NAME?,10,0,10
#NAME?,10,0,14
#NAME?,24,0,3
#NAME?,23,0,10
#NAME?,24,0,16
#NAME?,24,3,5
#NAME?,24,0,15
#NAME?,24,0,10
#NAME?,24,2,8
#NAME?,22,0,9
#NAME?,10,4,6
#NAME?,22,0,6
#NAME?,24,0,16
