,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2020-08,2.246772903,2.676246785,0,0,0,0,0,0,0,2.647059578,0,0,0,0,2.305583212,0,2.313761432,0,3.117625386,1.97469318,0,2.465834095,2.484218944,2.495401613,1.80856832,2.678364386,2.231478666,2.441587026,5.41075463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09,2.87017031,2.373122754,0,0,0,0,0,0,0,3.129199145,0,0,0,0,2.679482323,0,2.297299307,0,3.739284722,2.268192052,0,2.765241531,2.65084575,2.945074798,1.986366396,3.2280327,2.566922987,2.619684317,2.656238426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,3.597038314,3.453239994,0,0,0,0,0,0,0,4.133575633,0,0,0,0,3.933128796,0,3.602233033,0,5.190310659,3.533399198,0,3.868605162,3.966576968,4.039587285,3.631098918,4.054924042,3.704799824,3.449092034,3.624965278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11,3.897801965,3.78120158,0,0,0,0,0,0,0,4.405996795,0,0,0,0,4.013066411,0,3.685630189,0,2.965918561,3.935076192,0,3.958070306,3.998306621,3.99171011,4.036717504,4.176246974,3.999378672,3.947561462,3.969822531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12,4.723434567,4.825729167,0,0,0,0,0,0,0,5.207906949,0,0,0,0,4.916318866,0,4.564963258,0,4.483687004,4.518305636,0,4.751677183,4.29415658,4.872396234,5.433407196,4.873696073,4.639002771,4.655930316,3.232418981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01,3.827238304,4.016132853,0,0,0,0,0,0,0,4.044536412,0,0,0,0,3.624418374,0,3.515089487,0,3.515917426,4.139996833,0,4.040330894,3.780683463,4.08413134,3.837807909,4.133210071,4.098811031,3.396927083,4.121244985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02,4.154101617,4.005701771,0,0,0,0,0,0,0,4.88389943,0,0,0,0,4.726549342,0,4.432152829,0,4.96635431,4.392653338,0,4.639954204,4.562514586,4.829683219,4.477140689,4.912086474,5.251544052,4.790390011,4.485127315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03,5.178359358,6.295779006,0,0,0,0,0,0,0,5.799193216,0,0,0,0,4.952647407,0,4.974958355,0,4.533949565,5.038491735,0,5.095915624,5.324267043,5.222327938,5.097923851,5.217177783,5.575995262,5.145427494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04,4.315582211,4.595362047,0,0,0,0,0,0,0,4.814663598,0,0,0,0,4.602038336,0,4.196645303,0,4.362372499,4.753586147,0,4.66307644,4.374310982,4.835436627,4.60269756,4.625834903,4.745554654,4.100970922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05,4.854299868,4.883188998,0,0,0,0,0,0,0,5.200977714,0,0,0,0,4.355442347,0,4.288951555,0,5.333202231,4.879181682,0,4.626849082,4.879272676,4.841915759,4.914513625,5.119977692,4.734673697,4.399771825,7.3978125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06,5.194177756,5.046464179,0,0,0,0,0,0,0,5.543595017,0,0,0,0,5.249308078,0,4.578591843,0,5.277800926,4.524602785,0,5.049981481,5.353647263,5.188437895,5.150982912,5.236866053,5.410353206,5.82583313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07,5.542928907,5.857042695,0,0,0,0,0,0,0,5.785582169,0,0,0,0,5.126818186,0,4.811309735,0,4.320262346,5.05126001,0,5.446720013,6.038328677,5.493817004,5.235179939,5.217735015,5.295591342,5.178212873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08,5.267273361,5.592477306,0,0,0,0,0,0,0,5.8033612,0,0,0,0,6.396201957,0,4.986602401,0,4.84485512,5.43116453,0,5.410762354,5.631678618,5.536117825,5.218812724,5.834877696,6.281326885,5.002382854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09,5.130697393,4.581365355,0,0,0,0,0,0,0,5.096852122,0,0,0,0,4.813051203,0,5.269096403,0,5.17525897,4.740894321,0,4.951444236,5.004303412,5.064444304,4.858362367,5.49922411,5.852930979,4.998581548,3.501829861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10,5.333894909,5.358400309,0,0,0,0,0,0,0,5.835403025,0,0,0,0,5.468729745,0,5.42199386,0,4.952377982,5.339217719,0,5.320690749,5.238427069,5.455785019,5.175174082,5.365606872,5.832936921,5.471635019,8.221616512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11,6.232213963,5.443068607,0,0,0,0,0,0,0,6.65732707,0,0,0,0,5.848486797,0,5.574908006,0,5.469791584,5.8313851,0,5.631029269,5.777347211,5.761891976,5.544046594,6.1012244,6.578452712,6.853526365,6.328483796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12,5.122497729,5.700593479,0,0,0,0,0,0,0,6.056537558,0,0,0,0,4.885871809,0,5.38444885,0,5.082481002,5.808727513,0,5.65729921,5.734624787,5.634003614,5.390194912,5.542672249,6.54107579,5.632581191,6.142901531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01,6.165526527,6.501006356,0,0,0,0,0,0,0,7.229762719,0,0,0,0,5.557380013,0,5.774610124,0,6.238187224,5.603546627,0,6.126420376,5.863576829,6.423457014,6.191918745,5.653047967,6.008365619,6.270349306,4.907890947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02,5.457811357,5.848169235,0,0,0,0,0,0,0,6.237896353,0,0,0,0,5.296897248,0,5.653712721,0,5.93354042,5.795482829,0,6.193582962,5.978213778,6.269439386,5.638736552,6.123639769,7.344467456,6.819697304,8.624722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03,5.985923997,9.200932209,0,0,0,0,0,0,0,6.365825701,0,0,0,0,5.612884443,0,6.12669573,0,5.941607744,6.13319189,0,6.335375545,6.547118661,6.240827138,6.179373242,6.476865628,5.516795465,6.843735486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04,5.727923236,3.516030919,0,0,0,0,0,0,0,5.925234064,0,0,0,0,6.340782879,0,5.760465425,0,5.056669002,5.93634166,0,5.267191075,5.51684781,6.000079417,6.000899019,5.710054078,6.504947183,5.721868937,4.394010862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05,6.030650574,6.377321999,0,0,0,0,0,0,0,7.052256291,0,0,0,0,6.656258367,0,5.512271317,0,5.831593642,6.199957017,0,6.507879165,6.911193402,6.501926366,6.73484298,6.975637571,6.400129022,5.682538082,7.860092593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06,6.083067264,4.965072583,0,0,0,0,0,0,0,6.40408099,0,0,0,0,5.598430748,0,6.252953203,0,5.631917867,5.825887296,0,5.461168734,6.333780186,6.249965878,6.335172101,6.259092609,6.036227904,5.62761274,5.974912616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07,6.817243645,6.851427757,0,0,0,0,0,0,0,7.386801246,0,0,0,0,5.948434842,0,6.27753372,0,6.980794176,7.004320787,0,6.928469705,6.880535865,6.727121104,6.324974537,6.464633516,6.927617135,7.562746789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
