,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
20-Aug,25854240,5087343,0,0,0,0,0,0,0,605188477,0,0,0,0,13120518,0,27048114,0,1113170,7192679,0,39092575,26038598,188897146,55078578,5071210,7604734,20738360,663495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Sep,30377007,5883852,0,0,0,0,0,0,0,582386013,0,0,0,0,9692632,0,51185884,0,1076807,37661550,0,31342613,43981942,255657701,93859231,4793099,8319314,29672130,165951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct,53086773,8887472,0,0,0,0,0,0,0,830968224,0,0,0,0,17652762,0,155331217,0,17116361,33205597,0,87930001,98828814,386138290,39291704,19188286,13070155,111330405,229889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Nov,32401319,11491595,0,0,0,0,0,0,0,585908280,0,0,0,0,26233475,0,76119999,0,306232,69689271,0,122072922,37057175,334038643,39230350,18655480,9296303,9598884,2415779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Dec,25533137,7540124,0,0,0,0,0,0,0,408760099,0,0,0,0,19892821,0,73990799,0,4645417,77934780,0,84384381,24070333,396970123,40916624,18905340,12741217,2657969,35175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jan,33468499,9962702,0,0,0,0,0,0,0,121833201,0,0,0,0,22944391,0,51024317,0,16331243,24876729,0,135771921,49865035,339180950,33466417,30424580,22260163,66334785,2122473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Feb,28108078,6620509,0,0,0,0,0,0,0,289420029,0,0,0,0,11028802,0,105962360,0,7564975,10885981,0,86463016,61646228,323151699,26936861,22384012,7198710,24824680,472746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar,15975689,6143315,0,0,0,0,0,0,0,580698025,0,0,0,0,11432910,0,62146315,0,1109075,43861517,0,71257746,47778719,353631733,42929979,23968192,11977709,22700929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Apr,15488724,31194332,0,0,0,0,0,0,0,354425662,0,0,0,0,12670464,0,39425382,0,5552383,22396540,0,94546992,58205781,403067204,34978641,17780659,23294391,15915903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-May,21855997,4878307,0,0,0,0,0,0,0,508751522,0,0,0,0,6506041,0,55518976,0,5224847,48145042,0,156112565,51853220,364996139,105509224,30350001,21627924,1996576,511532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jun,14891706,5542031,0,0,0,0,0,0,0,903794025,0,0,0,0,20579554,0,66676113,0,5261958,28231020,0,107148401,38792629,382647035,50205307,22028523,21424133,14405346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jul,17683432,31266955,0,0,0,0,0,0,0,460539306,0,0,0,0,16690635,0,104968628,0,1804941,37666978,0,107712597,74293693,275071975,52998302,30214039,8227363,10929727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Aug,23385994,4075609,0,0,0,0,0,0,0,574324546,0,0,0,0,17549939,0,133135729,0,9570289,24550123,0,105301784,34924293,303411915,88583719,36633715,106561981,35955933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Sep,23413447,6702124,0,0,0,0,0,0,0,661180877,0,0,0,0,11820920,0,37279587,0,30428460,30352455,0,130887993,61982737,333472337,42396923,22452949,11371534,50121384,10734959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Oct,106364985,6953984,0,0,0,0,0,0,0,896604529,0,0,0,0,9889853,0,52989478,0,10785931,23810635,0,129946576,54529938,337020743,24378147,34490172,5119441,19895630,8575088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Nov,52047944,3932285,0,0,0,0,0,0,0,367419908,0,0,0,0,3569141,0,35302645,0,11131494,65204665,0,103479166,32521162,267840864,22853402,34662397,4853725,7192289,1313839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Dec,17170506,1875090,0,0,0,0,0,0,0,429312164,0,0,0,0,2764941,0,31944941,0,19760275,26552064,0,107046745,39311395,358155320,36681898,16209594,6511794,6273258,222059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jan,18495393,5467578,0,0,0,0,0,0,0,192927754,0,0,0,0,15424395,0,56324877,0,8969590,129853238,0,202087093,36425617,327950994,36433454,38804828,7384121,6046788,976368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Feb,9261159,4385786,0,0,0,0,0,0,0,101412964,0,0,0,0,3636395,0,125691166,0,5003580,26465654,0,148311673,50124472,280103257,50212221,26005876,10845918,9134867,253184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Mar,15978752,9376810,0,0,0,0,0,0,0,374538672,0,0,0,0,5483331,0,59445744,0,7024915,63508896,0,143769651,81096784,355962224,62261626,31506901,2419455,20572102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Apr,23603541,903766,0,0,0,0,0,0,0,421913908,0,0,0,0,10824217,0,75707512,0,7387890,17398065,0,99474513,40102163,341056553,43886070,23278721,4371529,2856554,336968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-May,36867123,4831231,0,0,0,0,0,0,0,523831667,0,0,0,0,4778450,0,47501748,0,4780425,32904139,0,108420995,62073861,289169592,33814559,28620561,8128588,545122,926445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jun,41484766,3031591,0,0,0,0,0,0,0,455153769,0,0,0,0,6567137,0,30078707,0,14798272,29141918,0,90134749,67205661,268471048,30230134,23761290,2847950,3491276,897291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,18041651,4095881,0,0,0,0,0,0,0,719199827,0,0,0,0,10591114,0,32617028,0,13244477,26465833,0,119634419,51813798,310728058,6646784,5651020,3970946,9917054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Aug,9222265,1593757,0,0,0,0,0,0,0,419982261,0,0,0,0,6791916,0,37485909,0,10970752,17506110,0,86335397,60629368,269620143,31316286,12039223,5602682,3823881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Sep,29827120,9148418,0,0,0,0,0,0,0,663854748,0,0,0,0,3943777,0,45023156,0,11201347,25758160,0,85665020,57171832,241429029,46578913,22307447,2194254,64793822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct,18559627,800991,0,0,0,0,0,0,0,563415536,0,0,0,0,2722642,0,84783245,0,13810047,39938662,0,77557518,59144032,367796796,16403767,9305351,1765242,2911579,1219218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Nov,39269896,2304896,0,0,0,0,0,0,0,482238304,0,0,0,0,7345143,0,47143392,0,27020194,25748138,0,78731584,39546283,428563898,15838957,21217109,9253755,1200750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Dec,16372879,1809634,0,0,0,0,0,0,0,367087062,0,0,0,0,6703653,0,133076905,0,19191897,78858406,0,77416189,52559646,347796267,69448801,23373767,14079025,933386,513275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan,15358469,2127791,0,0,0,0,0,0,0,352839791,0,0,0,0,5932095,0,52570774,0,25000248,28425177,0,121576260,50802291,268783116,40323239,13073505,5623786,2799495,497165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Feb,15596165,654779,0,0,0,0,0,0,0,295164204,0,0,0,0,9389257,0,39511218,0,27445032,13318904,0,121411285,42553491,321617095,58423553,16101197,2862055,33942449,379119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Mar,27848732,1610631,0,0,0,0,0,0,0,314548238,0,0,0,0,3046006,0,34130589,0,15115353,10106993,0,79077710,69885956,174523134,53692000,15995046,9797604,1838156,392193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Apr,15606753,2922128,0,0,0,0,0,0,0,638622715,0,0,0,0,14387691,0,36142951,0,21687453,16633027,0,91926328,61863249,493676843,87029784,20338603,3886159,6202311,1895548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-May,31474110,3166131,0,0,0,0,0,0,0,655675942,0,0,0,0,14505823,0,42098225,0,14896488,21571641,0,174620034,64696570,348297022,52797240,11829559,3992770,17477512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun,11225686,754742,0,0,0,0,0,0,0,361987449,0,0,0,0,14124312,0,62350253,0,18635214,15940397,0,107304273,63824871,461420780,43165472,14883126,4773945,55856414,971859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jul,14145304,611394,0,0,0,0,0,0,0,471156028,0,0,0,0,29050263,0,37113352,0,11407187,22321366,0,79285995,50502565,329325373,21619014,8574192,1813709,2907644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Aug,22374221,0,0,0,0,0,0,0,0,326409010,0,0,0,0,14885352,0,33026426,0,14946859,11805064,0,82899063,52888099,625585615,18909743,14356458,1288120,28555543,1730655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Sep,12988158,230659,0,0,0,0,0,0,0,334453352,0,0,0,0,12477568,0,42007674,0,4361527,19289060,0,55918743,38833804,216774314,5078113,8472010,987474,47840600,1306892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Oct,21539739,0,0,0,0,0,0,0,0,397828756,0,0,0,0,11663221,0,65904848,0,16784229,47092620,0,65906776,52611218,675398143,16528990,11990284,895835,4225512,4428908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Nov,22870820,0,0,0,0,0,0,0,0,460803013,0,0,0,0,14695850,0,49040471,0,9655292,52094808,0,64671507,55357948,453542292,20207441,10810683,1335372,8810992,2662642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Dec,21992625,531785,0,0,0,0,0,0,0,168875433,0,0,0,0,4338351,0,32478334,0,3915404,205849026,0,195918442,48650146,528619739,7429376,6570929,2812275,56441339,1772501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Jan,27363135,414041,0,0,0,0,0,0,0,209136071,0,0,0,0,10510614,0,50268171,0,16102265,135616869,0,69729771,65291922,746895636,16499312,10229382,5258617,5599779,3299736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Feb,10505702,0,0,0,0,0,0,0,0,172890169,0,0,0,0,693004,0,109553364,0,12326776,38211287,0,106553871,41327083,449855868,15521905,4411388,1695256,4071213,1402817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Mar,27606122,0,0,0,0,0,0,0,0,234678736,0,0,0,0,15862984,0,37213177,0,6850373,42361185,0,124805649,46779608,325397104,12688330,8495554,4002208,2745831,1480448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Apr,11408547,0,0,0,0,0,0,0,0,210175766,0,0,0,0,8229528,0,26423653,0,20079953,31793707,0,181767720,30927194,499188546,4087965,2653538,880095,20460803,1312270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
