,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2020-08,807945,565260.3333,0,0,0,0,0,0,0,9456069.953,0,0,0,0,656025.9,0,795532.7647,0,556585,248023.4138,0,751780.2885,743959.9429,1144831.188,379852.2621,724458.5714,362130.1905,1728196.667,221165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09,646319.2979,452604,0,0,0,0,0,0,0,8440377,0,0,0,0,881148.3636,0,609355.7619,0,358935.6667,918574.3902,0,441445.2535,1127742.103,1178146.088,358241.3397,599137.375,415965.7,1290092.609,165951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,1105974.438,683651.6923,0,0,0,0,0,0,0,6065461.489,0,0,0,0,882638.1,0,1386885.866,0,2852726.833,1071148.29,0,738907.5714,2353067,1257779.446,1091436.222,599633.9375,435671.8333,2589079.186,229889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11,852666.2895,574579.75,0,0,0,0,0,0,0,5007763.077,0,0,0,0,1380709.211,0,928292.6707,0,306232,1833928.184,0,946301.7209,842208.5227,1120935.044,1060279.73,548690.5882,464815.15,399953.5,1207889.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12,911897.75,580009.5385,0,0,0,0,0,0,0,4698391.943,0,0,0,0,1243301.313,0,1088099.985,0,663631,2514025.161,0,774168.633,633429.8158,1350238.514,1410918.069,727128.4615,509648.68,531593.8,35175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01,1014196.939,664180.1333,0,0,0,0,0,0,0,1845957.591,0,0,0,0,849792.2593,0,981236.8654,0,1814582.556,753840.2727,0,893236.3224,744254.2537,1046854.784,1014133.848,742062.9268,542930.8049,2287406.379,353745.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02,1041039.926,662050.9,0,0,0,0,0,0,0,4256176.897,0,0,0,0,787771.5714,0,1630190.154,0,687725,572946.3684,0,1029321.619,1120840.509,1282348.012,673421.525,621778.1111,423453.5294,2482468,472746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03,760747.0952,511942.9167,0,0,0,0,0,0,0,5478283.255,0,0,0,0,816636.4286,0,941610.8333,0,554537.5,1993705.318,0,742268.1875,955574.38,1245182.158,1022142.357,1141342.476,921362.2308,7566976.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04,860484.6667,2599527.667,0,0,0,0,0,0,0,4855146.055,0,0,0,0,974651.0769,0,668226.8136,0,694047.875,2036049.091,0,875435.1111,938802.9194,1348050.849,853137.5854,613126.1724,1370258.294,1326325.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05,950260.7391,1219576.75,0,0,0,0,0,0,0,9250027.673,0,0,0,0,1301208.2,0,1181254.809,0,522484.7,2407252.1,0,1393862.188,909705.614,1280688.207,1352682.359,867142.8857,1201551.333,665525.3333,511532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06,827317,791718.7143,0,0,0,0,0,0,0,11157950.93,0,0,0,0,857481.4167,0,1058351,0,1052391.6,1045593.333,0,892903.3417,1077573.028,1406790.57,1568915.844,957761.8696,1190229.611,1200445.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07,930706.9474,3908369.375,0,0,0,0,0,0,0,8079636.947,0,0,0,0,834531.75,0,1363228.935,0,451235.25,1448729.923,0,988188.9633,2653346.179,1267612.788,1709622.645,974646.4194,914151.4444,993611.5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08,1169299.7,582229.8571,0,0,0,0,0,0,0,8089078.113,0,0,0,0,1096871.188,0,1447127.489,0,1063365.444,876790.1071,0,948664.7207,1091384.156,1285643.708,1581852.125,1221123.833,11840220.11,1563301.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09,1114926.048,670212.4,0,0,0,0,0,0,0,7871200.917,0,0,0,0,909301.5385,0,847263.3409,0,2535705,892719.2647,0,1090733.275,1589300.949,1339246.333,1324903.844,748431.6333,1033775.818,2278244.727,3578319.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10,5909165.833,869248,0,0,0,0,0,0,0,10802464.2,0,0,0,0,988985.3,0,999801.4717,0,1198436.778,1133839.762,0,1249486.308,1298331.857,1404253.096,1108097.591,1231791.857,568826.7778,1326375.333,4287544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11,2365815.636,655380.8333,0,0,0,0,0,0,0,5926127.548,0,0,0,0,509877.2857,0,1008647,0,695718.375,3835568.529,0,848189.8852,1413963.565,1195718.143,993626.1739,866559.925,808954.1667,1198714.833,1313839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12,953917,625030,0,0,0,0,0,0,0,5300150.173,0,0,0,0,307215.6667,0,840656.3421,0,898194.3182,1770137.6,0,907175.8051,1310379.833,1404530.667,1930626.211,704764.9565,591981.2727,1045543,222059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01,924769.65,911263,0,0,0,0,0,0,0,3710149.115,0,0,0,0,1028293,0,1280110.841,0,815417.2727,3710092.514,0,1698210.866,1011822.694,1438381.553,1584063.217,1212650.875,923015.125,1007798,325456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02,1157644.875,1096446.5,0,0,0,0,0,0,0,2253621.422,0,0,0,0,519485,0,1461525.186,0,1000716,827051.6875,0,1666423.292,1165685.395,1729032.451,2183140.043,1130690.261,1205102,1522477.833,253184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03,1331562.667,1875362,0,0,0,0,0,0,0,4623934.222,0,0,0,0,913888.5,0,1486143.6,0,780546.1111,2189961.931,0,1395821.854,1374521.763,1744912.863,1778903.6,1312787.542,604863.75,2938871.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04,1388443.588,903766,0,0,0,0,0,0,0,5145291.561,0,0,0,0,902018.0833,0,1113345.765,0,615657.5,790821.1364,0,1036192.844,1145776.086,1433010.727,2089812.857,931148.84,624504.1429,1428277,336968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
